Дата протокола;Задача(пункт протокола);Срок выполнения;Ответственный;Окончание выполнения;Статус;Примечание
22.07.2026;1.2.1. Сформировать портфель проектов Ситуационного центра по направлению внедрения алгоритмов ИИ и ТИМ;24.07.2026;Полянкин А.Г. Львовская М.А.;24.07.2026;Выполнено;
22.07.2026;1.2.2. Провести оценку приоритетности проектов по направлению внедрения алгоритмов ИИ и ТИМ;30.07.2026;Полянкин А.Г. Львовская М.А.;24.07.2026;Выполнено;
22.07.2026;1.2.4. Провести обследование бизнес-процессов и описание бизнес-логики;05.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
22.07.2026;1.2.3. Организовать системную работу и совещания по вопросам развития блока цифрового мониторинга;30.07.2026;Полянкин А.Г. Львовская М.А.;;Выполнено;
22.07.2026;2.1. Организовать работу по ведению деятельности Ситуационного центра;10.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
22.07.2026;3.2.1. Ведение полевых и камеральных работ по фотопанорамному мониторингу;24.07.2026;Полянкин А.Г. Львовская М.А.;24.07.2026;Выполнено;
22.07.2026;3.2.2. Ведение план-фактных статусных моделей объектов строительства;30.07.2026;Полянкин А.Г. Львовская М.А.;24.07.2026;Выполнено;
22.07.2026;3.2.3. Разработка средств роботизации передачи данных между системами СТДО и СУИД;05.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
22.07.2026;3.2.4. Разработка цифрового контура контроля факта выполнения СМР;12.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
22.07.2026;3.3.5. Разработка единого стандарта цифровизации площадок строительства;26.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
29.07.2026;1.1. Сформировать перечень объектов для тиражирования методики ведения КСГ и для последующего составления плана работ по тиражированию;08.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
29.07.2026;1.3. Организовать масштабирование системы МИП-Ресурс на новых объектах Градостроительного комплекса;01.09.2026;Полянкин А.Г. Львовская М.А.;;В работе;
29.07.2026;1.4. Масштабировать обучение методикам планирования, разработки КСГ, типизации работ с последующей оценкой качества;01.08.2026;Полянкин А.Г. Львовская М.А.;;В работе;
